iter	Passed	Remaining
0	4	4759
1	9	4656
2	13	4624
3	18	4541
4	21	4365
5	26	4315
6	29	4210
7	33	4183
8	36	4043
9	40	4034
10	44	4000
11	48	3988
12	51	3925
13	55	3914
14	60	3940
15	63	3878
16	67	3881
17	71	3885
18	75	3883
19	79	3876
20	83	3896
21	87	3889
22	91	3878
23	95	3875
24	99	3862
25	102	3857
26	106	3853
27	110	3851
28	114	3841
29	117	3798
30	121	3792
31	125	3785
32	128	3761
33	132	3770
34	136	3766
35	140	3769
36	144	3770
37	148	3769
38	153	3780
39	157	3781
40	161	3779
41	164	3748
42	166	3716
43	169	3675
44	171	3638
45	175	3643
46	180	3654
47	185	3669
48	190	3697
49	194	3686
50	197	3678
51	201	3680
52	204	3654
53	208	3652
54	210	3621
55	214	3622
56	217	3590
57	220	3577
58	223	3560
59	226	3545
60	230	3541
61	232	3513
62	234	3489
63	237	3470
64	241	3471
65	244	3455
66	246	3427
67	249	3422
68	253	3420
69	256	3405
70	258	3381
71	261	3364
72	262	3333
73	265	3319
74	269	3322
75	272	3311
76	276	3309
77	278	3289
78	280	3271
79	283	3265
80	287	3258
81	290	3251
82	294	3251
83	297	3249
84	301	3249
85	305	3249
86	309	3247
87	313	3245
88	317	3252
89	321	3251
90	325	3250
91	329	3251
92	333	3252
93	337	3254
94	341	3256
95	345	3257
96	351	3270
97	355	3274
98	359	3272
99	363	3271
100	367	3271
101	370	3263
102	374	3264
103	377	3255
104	382	3257
105	384	3243
106	387	3237
107	392	3237
108	395	3233
109	398	3222
110	402	3220
111	404	3207
112	408	3207
113	455	3543
114	458	3527
115	460	3511
116	463	3496
117	465	3482
118	468	3467
119	490	3594
120	493	3583
121	496	3573
122	499	3565
123	503	3559
124	507	3555
125	511	3551
126	516	3551
127	520	3546
128	525	3548
129	527	3530
130	530	3519
131	532	3501
132	536	3496
133	539	3483
134	541	3471
135	545	3464
136	548	3454
137	551	3444
138	554	3437
139	558	3428
140	562	3424
141	565	3419
142	569	3415
143	573	3407
144	574	3389
145	578	3384
146	582	3382
147	586	3373
148	589	3364
149	593	3362
150	597	3361
151	601	3357
152	606	3355
153	609	3350
154	612	3341
155	616	3333
156	619	3326
157	623	3323
158	627	3319
159	631	3316
160	635	3313
161	640	3310
162	644	3307
163	647	3302
164	651	3296
165	655	3293
166	659	3289
167	663	3286
168	667	3282
169	670	3272
170	673	3266
171	676	3254
172	678	3243
173	681	3233
174	685	3230
175	689	3226
176	693	3223
177	696	3214
178	699	3206
179	701	3197
180	704	3186
181	707	3178
182	710	3173
183	713	3166
184	717	3159
185	720	3153
186	724	3148
187	727	3142
188	731	3140
189	734	3132
190	738	3129
191	742	3126
192	747	3125
193	753	3132
194	757	3128
195	761	3125
196	764	3116
197	768	3114
198	773	3112
199	779	3116
200	781	3107
201	783	3094
202	786	3089
203	791	3089
204	795	3085
205	799	3080
206	803	3076
207	806	3071
208	810	3067
209	814	3063
210	819	3062
211	823	3059
212	826	3054
213	830	3050
214	833	3043
215	837	3038
216	840	3031
217	843	3025
218	847	3021
219	851	3018
220	855	3015
221	858	3009
222	862	3004
223	865	2999
224	869	2995
225	872	2987
226	874	2976
227	877	2970
228	880	2963
229	883	2959
230	886	2950
231	888	2941
232	890	2932
233	893	2925
234	897	2920
